family_pfam,family_name,gene_id,gene_name,protein_id,seqid,start,end,strand,evalue,score
PF00567,Tudor — Tudor-домен,gene-LOC141875513,LOC141875513,XP_074615915.1,NC_133884.1,16897649,16950632,-,7.8e-29,90.3
PF00567,Tudor — Tudor-домен,gene-LOC141875513,LOC141875513,XP_074615912.1,NC_133884.1,16897649,16950632,-,8.1e-29,90.3
PF00567,Tudor — Tudor-домен,gene-LOC141875513,LOC141875513,XP_074615913.1,NC_133884.1,16897649,16950632,-,8.1e-29,90.3
PF00567,Tudor — Tudor-домен,gene-LOC141875513,LOC141875513,XP_074615910.1,NC_133884.1,16897649,16950632,-,8.2e-29,90.3
PF00567,Tudor — Tudor-домен,gene-LOC141875513,LOC141875513,XP_074615911.1,NC_133884.1,16897649,16950632,-,8.2e-29,90.3
PF00567,Tudor — Tudor-домен,gene-LOC141881665,LOC141881665,XP_074623562.1,NC_133882.1,25746369,25766279,-,1.5e-27,86.2
PF00567,Tudor — Tudor-домен,gene-LOC141881665,LOC141881665,XP_074623570.1,NC_133882.1,25746369,25766279,-,1.5e-27,86.2
PF00567,Tudor — Tudor-домен,gene-LOC141889974,LOC141889974,XP_074631430.1,NC_133889.1,4699412,4729486,+,3.9e-25,78.4
PF00567,Tudor — Tudor-домен,gene-LOC141894534,LOC141894534,XP_074636316.1,NC_133891.1,20927344,20966942,+,8.3e-23,70.9
PF00567,Tudor — Tudor-домен,gene-LOC141894534,LOC141894534,XP_074636313.1,NC_133891.1,20927344,20966942,+,8.3e-23,70.9
PF00567,Tudor — Tudor-домен,gene-LOC141894534,LOC141894534,XP_074636314.1,NC_133891.1,20927344,20966942,+,8.3e-23,70.9
PF00567,Tudor — Tudor-домен,gene-LOC141894534,LOC141894534,XP_074636315.1,NC_133891.1,20927344,20966942,+,8.3e-23,70.9
PF00567,Tudor — Tudor-домен,gene-LOC141874130,LOC141874130,XP_074614388.1,NC_133883.1,12002216,12016773,+,1.3e-18,57.3
PF00567,Tudor — Tudor-домен,gene-LOC141860015,LOC141860015,XP_074607039.1,NC_133893.1,418857,431174,-,2e-12,37.4
PF00567,Tudor — Tudor-домен,gene-LOC141875513,LOC141875513,XP_074615918.1,NC_133884.1,16897649,16950632,-,2.9e-09,27.2
PF00567,Tudor — Tudor-домен,gene-LOC141875513,LOC141875513,XP_074615916.1,NC_133884.1,16897649,16950632,-,2.9e-09,27.2
PF00567,Tudor — Tudor-домен,gene-LOC141887570,LOC141887570,XP_074629779.1,NC_133882.1,8476965,8481159,-,4.6e-08,23.3
PF00567,Tudor — Tudor-домен,gene-LOC141887570,LOC141887570,XP_074629780.1,NC_133882.1,8476965,8481159,-,4.6e-08,23.3
PF00567,Tudor — Tudor-домен,gene-LOC141859893,LOC141859893,XP_074606890.1,NC_133893.1,19203651,19212629,-,2.9e-07,20.7
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141881716,LOC141881716,XP_074623655.1,NC_133886.1,23213328,23262186,-,5.6e-41,128.6
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141881716,LOC141881716,XP_074623654.1,NC_133886.1,23213328,23262186,-,5.9e-41,128.5
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141864374,LOC141864374,XP_074610199.1,NC_133894.1,19455614,19468732,-,9e-31,95.9
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141864374,LOC141864374,XP_074610198.1,NC_133894.1,19455614,19468732,-,9.2e-31,95.9
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141881051,LOC141881051,XP_074622799.1,NC_133886.1,23981030,23991877,+,7.6e-27,83.3
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141881051,LOC141881051,XP_074622798.1,NC_133886.1,23981030,23991877,+,1.8e-26,82.1
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141897742,LOC141897742,XP_074639460.1,NC_133892.1,10037766,10053391,-,6.5e-25,77.1
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141885689,LOC141885689,XP_074627622.1,NC_133888.1,22047525,22057035,+,1.6e-24,75.9
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141890471,LOC141890471,XP_074632056.1,NC_133889.1,6372110,6391302,-,1.3e-22,69.8
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141880591,LOC141880591,XP_074622183.1,NC_133886.1,2238107,2266093,-,1.7e-22,69.4
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141880591,LOC141880591,XP_074622182.1,NC_133886.1,2238107,2266093,-,1.7e-22,69.4
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141880591,LOC141880591,XP_074622181.1,NC_133886.1,2238107,2266093,-,1.7e-22,69.4
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141880591,LOC141880591,XP_074622180.1,NC_133886.1,2238107,2266093,-,1.7e-22,69.4
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141895582,LOC141895582,XP_074637539.1,NC_133891.1,5020131,5029737,+,2.2e-22,69.1
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141895582,LOC141895582,XP_074637538.1,NC_133891.1,5020131,5029737,+,2.2e-22,69.0
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141889937,LOC141889937,XP_074631386.1,NC_133889.1,4836219,4840343,+,6.2e-22,67.6
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141889937,LOC141889937,XP_074631385.1,NC_133889.1,4836219,4840343,+,6.7e-22,67.5
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141883672,LOC141883672,XP_074625338.1,NC_133887.1,9377876,9412113,+,1.9e-21,66.0
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141883672,LOC141883672,XP_074625339.1,NC_133887.1,9377876,9412113,+,2.2e-21,65.8
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141883672,LOC141883672,XP_074625337.1,NC_133887.1,9377876,9412113,+,2.3e-21,65.8
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141883672,LOC141883672,XP_074625334.1,NC_133887.1,9377876,9412113,+,2.3e-21,65.7
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141883672,LOC141883672,XP_074625335.1,NC_133887.1,9377876,9412113,+,2.3e-21,65.8
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141883672,LOC141883672,XP_074625332.1,NC_133887.1,9377876,9412113,+,2.4e-21,65.7
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141883672,LOC141883672,XP_074625333.1,NC_133887.1,9377876,9412113,+,2.4e-21,65.7
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141863291,LOC141863291,XP_074608889.1,NC_133883.1,7487241,7500718,-,3.6e-20,61.9
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141863291,LOC141863291,XP_074608895.1,NC_133883.1,7487241,7500718,-,3.6e-20,61.9
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141863291,LOC141863291,XP_074608903.1,NC_133883.1,7487241,7500718,-,3.6e-20,61.9
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141863291,LOC141863291,XP_074608871.1,NC_133883.1,7487241,7500718,-,3.6e-20,61.9
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141863291,LOC141863291,XP_074608880.1,NC_133883.1,7487241,7500718,-,3.6e-20,61.9
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141877862,LOC141877862,XP_074618996.1,NC_133884.1,24892179,24919485,-,2.1e-19,59.5
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141874844,LOC141874844,XP_074615367.1,NC_133883.1,21853792,21868252,-,1.5e-18,56.8
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141865390,LOC141865390,XP_074610743.1,NC_133895.1,13377253,13388625,-,5.8e-17,51.7
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141881717,LOC141881717,XP_074623657.1,NC_133886.1,23179321,23208979,-,2.6e-16,49.6
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141874844,LOC141874844,XP_074615368.1,NC_133883.1,21853792,21868252,-,5.4e-15,45.4
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141896350,LOC141896350,XP_074637699.1,NC_133892.1,17944985,17956629,-,8.1e-15,44.8
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141879035,LOC141879035,XP_074620238.1,NC_133885.1,3815641,3827026,-,3.1e-14,42.9
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141897858,LOC141897858,XP_074639602.1,NC_133892.1,20369193,20386807,+,4.6e-14,42.4
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141891946,LOC141891946,XP_074633118.1,NC_133890.1,4164980,4187754,-,2.7e-13,40.0
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141891946,LOC141891946,XP_074633117.1,NC_133890.1,4164980,4187754,-,2.7e-13,40.0
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141863071,LOC141863071,XP_074608657.1,NC_133894.1,14994735,15008474,-,3.6e-13,39.6
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141864379,LOC141864379,XP_074610207.1,NC_133894.1,19381332,19394223,+,7.6e-13,38.5
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141878347,LOC141878347,XP_074619361.1,NC_133885.1,23404243,23421696,-,1.1e-12,38.0
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141878347,LOC141878347,XP_074619359.1,NC_133885.1,23404243,23421696,-,1.3e-12,37.8
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141878347,LOC141878347,XP_074619358.1,NC_133885.1,23404243,23421696,-,1.3e-12,37.8
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141878347,LOC141878347,XP_074619357.1,NC_133885.1,23404243,23421696,-,1.4e-12,37.6
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141878347,LOC141878347,XP_074619356.1,NC_133885.1,23404243,23421696,-,1.4e-12,37.6
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141860484,LOC141860484,XP_074607698.1,NC_133893.1,13398297,13418891,-,1.5e-12,37.5
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141892919,LOC141892919,XP_074634356.1,NC_133890.1,19088491,19106512,+,3.5e-12,36.4
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141892919,LOC141892919,XP_074634357.1,NC_133890.1,19088491,19106512,+,3.5e-12,36.4
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141897860,LOC141897860,XP_074639610.1,NC_133892.1,20527801,20540678,-,2.7e-11,33.5
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141897860,LOC141897860,XP_074639609.1,NC_133892.1,20527801,20540678,-,2.7e-11,33.5
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141883849,LOC141883849,XP_074625602.1,NC_133882.1,13771525,13775858,-,4.3e-11,32.9
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141863715,LOC141863715,XP_074609488.1,NC_133894.1,16693541,16721494,+,8.3e-11,32.0
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141893719,LOC141893719,XP_074635206.1,NC_133891.1,6730449,6759850,+,1.5e-10,31.1
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141863071,LOC141863071,XP_074608658.1,NC_133894.1,14994735,15008474,-,2.5e-10,30.5
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141893439,LOC141893439,XP_074634948.1,NC_133890.1,404760,419637,+,2.5e-10,30.4
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141893439,LOC141893439,XP_074634950.1,NC_133890.1,404760,419637,+,2.5e-10,30.4
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141865792,LOC141865792,XP_074611203.1,NC_133895.1,6585273,6590802,-,2.5e-10,30.5
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141893439,LOC141893439,XP_074634947.1,NC_133890.1,404760,419637,+,4.7e-10,29.6
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141893439,LOC141893439,XP_074634946.1,NC_133890.1,404760,419637,+,5e-10,29.5
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141893439,LOC141893439,XP_074634945.1,NC_133890.1,404760,419637,+,5.1e-10,29.5
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141859911,LOC141859911,XP_074606903.1,NC_133893.1,216188,231436,+,5.8e-10,29.3
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141876919,LOC141876919,XP_074617827.1,NC_133884.1,21354863,21357830,-,6.8e-10,29.1
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141859911,LOC141859911,XP_074606904.1,NC_133893.1,216188,231436,+,7.5e-10,28.9
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141876728,LOC141876728,XP_074617575.1,NC_133884.1,23999223,24004214,-,1.3e-09,28.2
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141863293,LOC141863293,XP_074608869.1,NC_133894.1,517407,527601,-,1.6e-09,27.8
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141863293,LOC141863293,XP_074608870.1,NC_133894.1,517407,527601,-,1.6e-09,27.8
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141880294,LOC141880294,XP_074621876.1,NC_133885.1,8274149,8291235,-,2.2e-09,27.4
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141880294,LOC141880294,XP_074621877.1,NC_133885.1,8274149,8291235,-,2.2e-09,27.4
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141896496,LOC141896496,XP_074637823.1,NC_133892.1,18156669,18163749,-,2.6e-09,27.2
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141894250,LOC141894250,XP_074635925.1,NC_133891.1,11600106,11605477,-,4.2e-09,26.5
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141860122,LOC141860122,XP_074607220.1,NC_133893.1,2893305,2907804,-,4.8e-09,26.3
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141884480,LOC141884480,XP_074626371.1,NC_133887.1,22441983,22446798,+,7.5e-09,25.7
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141874684,LOC141874684,XP_074615138.1,NC_133883.1,5071561,5073884,+,7.9e-09,25.6
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141897168,LOC141897168,XP_074638733.1,NC_133892.1,14372688,14389244,+,1.1e-08,25.1
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141875988,LOC141875988,XP_074616588.1,NC_133882.1,6855775,6861351,+,1.2e-08,25.1
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141875988,LOC141875988,XP_074616579.1,NC_133882.1,6855775,6861351,+,1.2e-08,25.1
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141880514,LOC141880514,XP_074622070.1,NC_133886.1,8034722,8050695,-,2e-08,24.3
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141886141,LOC141886141,XP_074628290.1,NC_133888.1,19898950,19908227,-,2.6e-08,24.0
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141886141,LOC141886141,XP_074628289.1,NC_133888.1,19898950,19908227,-,2.6e-08,24.0
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141863237,LOC141863237,XP_074608794.1,NC_133894.1,16024223,16035275,+,7e-08,22.6
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141883491,LOC141883491,XP_074625087.1,NC_133887.1,13871869,13896881,+,1.3e-07,21.7
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141881139,LOC141881139,XP_074622927.1,NC_133886.1,17425018,17428595,+,1.4e-07,21.6
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141882147,LOC141882147,XP_074624195.1,NC_133886.1,10526288,10533547,+,2.3e-07,21.0
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141881460,LOC141881460,XP_074623346.1,NC_133886.1,7397846,7402471,+,2.7e-07,20.7
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141859259,LOC141859259,XP_074606190.1,NC_133882.1,21283722,21287758,+,2.9e-07,20.7
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141866549,LOC141866549,XP_074612175.1,NC_133895.1,17371083,17381073,+,3.3e-07,20.4
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141892845,LOC141892845,XP_074634286.1,NC_133890.1,4426229,4427374,+,3.4e-07,20.4
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141866017,LOC141866017,XP_074611528.1,NC_133895.1,18022436,18044509,+,5e-07,19.9
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141888982,LOC141888982,XP_074630161.1,NC_133889.1,20118283,20120414,-,8e-07,19.2
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141860366,LOC141860366,XP_074607549.1,NC_133893.1,12585240,12587371,+,8e-07,19.2
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141889326,LOC141889326,XP_074630687.1,NC_133889.1,7015321,7017452,+,8e-07,19.2
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141865697,LOC141865697,XP_074611103.1,NC_133895.1,17841624,17846286,+,8.7e-07,19.1
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141885131,LOC141885131,XP_074627100.1,NC_133887.1,22207828,22210388,+,8.8e-07,19.1
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141883801,LOC141883801,XP_074625522.1,NC_133887.1,3220076,3233113,-,1.8e-06,18.1
PF00628,"PHD — PHD-палец, ридер метилированных гистонов",gene-LOC141892692,LOC141892692,XP_074634123.1,NC_133890.1,12422200,12425250,+,5.7e-06,16.5
PF00850,Hist_deacetyl — гистондеацетилаза (HDAC),gene-LOC141879107,LOC141879107,XP_074620330.1,NC_133885.1,9500940,9511754,-,4.7e-100,324.7
PF00850,Hist_deacetyl — гистондеацетилаза (HDAC),gene-LOC141879107,LOC141879107,XP_074620331.1,NC_133885.1,9500940,9511754,-,4.7e-100,324.7
PF00850,Hist_deacetyl — гистондеацетилаза (HDAC),gene-LOC141881026,LOC141881026,XP_074622761.1,NC_133886.1,4339872,4372585,-,1.5e-94,306.6
PF00850,Hist_deacetyl — гистондеацетилаза (HDAC),gene-LOC141881026,LOC141881026,XP_074622760.1,NC_133886.1,4339872,4372585,-,1.5e-94,306.6
PF00850,Hist_deacetyl — гистондеацетилаза (HDAC),gene-LOC141881026,LOC141881026,XP_074622758.1,NC_133886.1,4339872,4372585,-,1.6e-94,306.6
PF00850,Hist_deacetyl — гистондеацетилаза (HDAC),gene-LOC141881026,LOC141881026,XP_074622759.1,NC_133886.1,4339872,4372585,-,1.6e-94,306.6
PF00850,Hist_deacetyl — гистондеацетилаза (HDAC),gene-LOC141894140,LOC141894140,XP_074635790.1,NC_133891.1,327151,334508,-,4.5e-92,298.5
PF00850,Hist_deacetyl — гистондеацетилаза (HDAC),gene-LOC141884993,LOC141884993,XP_074626997.1,NC_133887.1,10446989,10455336,-,2.1e-89,289.7
PF00850,Hist_deacetyl — гистондеацетилаза (HDAC),gene-LOC141865392,LOC141865392,XP_074610746.1,NC_133895.1,13526457,13538671,+,2.5e-89,289.5
PF00850,Hist_deacetyl — гистондеацетилаза (HDAC),gene-LOC141879302,LOC141879302,XP_074620641.1,NC_133885.1,445768,458472,-,2e-60,194.6
PF00850,Hist_deacetyl — гистондеацетилаза (HDAC),gene-LOC141897314,LOC141897314,XP_074638939.1,NC_133892.1,8947397,8955415,-,3.4e-58,187.3
PF00850,Hist_deacetyl — гистондеацетилаза (HDAC),gene-LOC141897314,LOC141897314,XP_074638938.1,NC_133892.1,8947397,8955415,-,4.7e-58,186.9
PF00850,Hist_deacetyl — гистондеацетилаза (HDAC),gene-LOC141897314,LOC141897314,XP_074638940.1,NC_133892.1,8947397,8955415,-,6.1e-53,170.0
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141874844,LOC141874844,XP_074615368.1,NC_133883.1,21853792,21868252,-,3.2e-32,101.3
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141874844,LOC141874844,XP_074615367.1,NC_133883.1,21853792,21868252,-,8.3e-32,100.0
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141895196,LOC141895196,XP_074637075.1,NC_133882.1,9112905,9130797,+,1.6e-29,92.6
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141892919,LOC141892919,XP_074634356.1,NC_133890.1,19088491,19106512,+,1.9e-29,92.4
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141892919,LOC141892919,XP_074634357.1,NC_133890.1,19088491,19106512,+,1.9e-29,92.4
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141886860,LOC141886860,XP_074629238.1,NC_133888.1,21706024,21725195,+,3.3e-29,91.6
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141886860,LOC141886860,XP_074629239.1,NC_133888.1,21706024,21725195,+,4e-29,91.4
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141864629,LOC141864629,XP_074610563.1,NC_133894.1,2135446,2139548,-,4.6e-29,91.2
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141886046,LOC141886046,XP_074628137.1,NC_133888.1,19819313,19830176,+,4.8e-29,91.1
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141894387,LOC141894387,XP_074636141.1,NC_133891.1,14472588,14485595,+,5.7e-29,90.8
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141878028,LOC141878028,XP_074619148.1,NC_133882.1,24786514,24810782,+,1.7e-27,86.1
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141878028,LOC141878028,XP_074619147.1,NC_133882.1,24786514,24810782,+,1.9e-27,86.0
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141878028,LOC141878028,XP_074619146.1,NC_133882.1,24786514,24810782,+,2e-27,85.9
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141878028,LOC141878028,XP_074619145.1,NC_133882.1,24786514,24810782,+,2e-27,85.9
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141881716,LOC141881716,XP_074623654.1,NC_133886.1,23213328,23262186,-,8.2e-27,83.9
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141881716,LOC141881716,XP_074623655.1,NC_133886.1,23213328,23262186,-,8.2e-27,83.9
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141894615,LOC141894615,XP_074636415.1,NC_133891.1,14686061,14694608,+,9.3e-26,80.5
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141879152,LOC141879152,XP_074620395.1,NC_133885.1,21031701,21033943,-,4.3e-24,75.2
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141858876,LOC141858876,XP_074605824.1,NC_133892.1,15729863,15769025,+,1.2e-21,67.3
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141858876,LOC141858876,XP_074605827.1,NC_133892.1,15729863,15769025,+,1.3e-21,67.2
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141858876,LOC141858876,XP_074605826.1,NC_133892.1,15729863,15769025,+,1.3e-21,67.2
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141858876,LOC141858876,XP_074605822.1,NC_133892.1,15729863,15769025,+,1.5e-21,67.0
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141858876,LOC141858876,XP_074605823.1,NC_133892.1,15729863,15769025,+,1.5e-21,67.0
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141863585,LOC141863585,XP_074609275.1,NC_133894.1,15819168,15830339,-,2e-19,60.1
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141863585,LOC141863585,XP_074609276.1,NC_133894.1,15819168,15830339,-,2e-19,60.1
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141894290,LOC141894290,XP_074635990.1,NC_133882.1,9082128,9088335,+,1.4e-17,54.3
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141894290,LOC141894290,XP_074635982.1,NC_133882.1,9082128,9088335,+,1.4e-17,54.3
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141866288,LOC141866288,XP_074611868.1,NC_133895.1,13978063,13987085,-,1.8e-17,53.9
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141866288,LOC141866288,XP_074611867.1,NC_133895.1,13978063,13987085,-,1.9e-17,53.8
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141894271,LOC141894271,XP_074635954.1,NC_133882.1,9090884,9101779,+,1.5e-16,51.0
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141894271,LOC141894271,XP_074635961.1,NC_133882.1,9090884,9101779,+,1.5e-16,51.0
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141859050,LOC141859050,XP_074606036.1,NC_133892.1,338066,341715,-,2.2e-16,50.4
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141894316,LOC141894316,XP_074636073.1,NC_133882.1,9056488,9068817,+,2.4e-16,50.3
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141894316,LOC141894316,XP_074636064.1,NC_133882.1,9056488,9068817,+,2.4e-16,50.3
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141894316,LOC141894316,XP_074636082.1,NC_133882.1,9056488,9068817,+,2.4e-16,50.3
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141894316,LOC141894316,XP_074636045.1,NC_133882.1,9056488,9068817,+,2.4e-16,50.3
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141894316,LOC141894316,XP_074636054.1,NC_133882.1,9056488,9068817,+,2.4e-16,50.3
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141894316,LOC141894316,XP_074636038.1,NC_133882.1,9056488,9068817,+,2.4e-16,50.3
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141894316,LOC141894316,XP_074636020.1,NC_133882.1,9056488,9068817,+,2.4e-16,50.3
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141894316,LOC141894316,XP_074636029.1,NC_133882.1,9056488,9068817,+,2.4e-16,50.3
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141894246,LOC141894246,XP_074635923.1,NC_133882.1,9068954,9078597,-,3e-16,49.9
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141896624,LOC141896624,XP_074638020.1,NC_133892.1,19244136,19252277,+,5.8e-16,49.0
PF00856,SET — гистон-лизин-метилтрансфераза,gene-LOC141881212,LOC141881212,XP_074623035.1,NC_133886.1,502998,508213,-,5.8e-16,49.0
